,batting_team,bowling_team,wicket_fallen,score,target,runs_prev_5,wick_prev_5,balls_left,venue,req
54485,MI,SRH,3,86,172,43.0,0.0,42,Others,86
65662,RPS,MI,0,57,121,49.0,0.0,83,Wankhede Stadium,64
23118,RCB,KXIP,0,19,181,38.45717232572607,1.3591565436626174,101,"Punjab Cricket Association Stadium, Mohali",162
21476,MI,KKR,0,57,155,41.0,0.0,84,Others,98
60210,RR,MI,3,140,164,55.0,2.0,20,Others,24
36195,KXIP,PWI,1,7,115,38.45717232572607,1.3591565436626174,112,"Punjab Cricket Association Stadium, Mohali",108
50430,RR,CSK,3,19,141,19.0,3.0,89,Sawai Mansingh Stadium,122
54200,KXIP,RCB,2,37,124,27.0,2.0,80,Others,87
48965,KXIP,RCB,1,97,174,48.0,0.0,51,M Chinnaswamy Stadium,77
4415,RPS,KKR,1,16,155,38.45717232572607,1.3591565436626174,104,Eden Gardens,139
41043,PWI,RCB,2,10,173,38.45717232572607,1.3591565436626174,108,Subrata Roy Sahara Stadium,163
52479,KXIP,CSK,2,44,205,38.45717232572607,1.3591565436626174,94,Others,161
21209,DC,HDC,0,34,171,38.45717232572607,1.3591565436626174,99,Others,137
26190,RCB,MI,5,98,184,41.0,3.0,49,Dr DY Patil Sports Academy,86
23031,HDC,KKR,2,79,181,38.0,1.0,65,Eden Gardens,102
7153,RR,KXIP,1,8,166,38.45717232572607,1.3591565436626174,109,Sawai Mansingh Stadium,158
35674,MI,HDC,2,48,138,33.0,0.0,61,Others,90
27429,MI,RCB,1,87,140,43.0,0.0,51,M Chinnaswamy Stadium,53
35093,KXIP,RR,5,93,191,38.0,2.0,45,Sawai Mansingh Stadium,98
22557,KKR,DC,4,54,177,26.0,1.0,62,Feroz Shah Kotla,123
50346,KKR,RCB,3,62,115,31.0,1.0,55,Others,53
35481,KKR,RR,8,132,164,52.0,2.0,10,Sawai Mansingh Stadium,32
16488,KXIP,CSK,1,21,185,38.45717232572607,1.3591565436626174,103,Others,164
2530,MI,KXIP,2,191,198,61.0,1.0,30,Others,7
80097,RCB,MI,5,174,197,57.0,2.0,7,M Chinnaswamy Stadium,23
31173,KTK,DC,3,122,140,46.0,1.0,43,Feroz Shah Kotla,18
65377,RR,RCB,9,109,180,22.0,4.0,7,Maharashtra Cricket Association Stadium,71
82110,MI,KXIP,6,194,204,55.0,2.0,6,Wankhede Stadium,10
83598,DC,KXIP,1,75,168,43.0,0.0,70,Feroz Shah Kotla,93
5083,GL,KXIP,0,61,189,45.0,0.0,81,"Punjab Cricket Association Stadium, Mohali",128
62187,KXIP,SRH,2,31,150,22.0,2.0,84,"Punjab Cricket Association Stadium, Mohali",119
54703,MI,KXIP,3,82,168,28.0,1.0,52,Wankhede Stadium,86
27073,PWI,KXIP,1,44,112,43.0,0.0,86,Dr DY Patil Sports Academy,68
44601,RCB,KKR,1,73,154,54.0,0.0,68,M Chinnaswamy Stadium,81
62568,DC,KXIP,0,53,118,31.0,0.0,75,Feroz Shah Kotla,65
37933,DC,PWI,7,172,192,41.0,2.0,0,Feroz Shah Kotla,20
82838,MI,RCB,0,12,179,38.45717232572607,1.3591565436626174,113,Wankhede Stadium,167
22019,KXIP,KKR,1,1,183,38.45717232572607,1.3591565436626174,115,"Punjab Cricket Association Stadium, Mohali",182
71318,DC,SRH,1,41,158,31.0,0.0,80,Others,117
76494,KKR,MI,2,33,187,38.45717232572607,1.3591565436626174,100,Wankhede Stadium,154
22318,CSK,RR,2,75,177,49.0,1.0,67,Others,102
3452,KKR,DC,1,87,160,59.0,0.0,70,Eden Gardens,73
64504,DC,CSK,1,24,119,38.45717232572607,1.3591565436626174,97,Others,95
33594,KTK,CSK,1,28,152,38.45717232572607,1.3591565436626174,94,"MA Chidambaram Stadium, Chepauk",124
28784,MI,PWI,1,53,118,35.0,0.0,69,Wankhede Stadium,65
84594,RR,SRH,3,155,169,42.0,1.0,16,Sawai Mansingh Stadium,14
78692,CSK,KXIP,3,29,164,38.45717232572607,1.3591565436626174,92,Maharashtra Cricket Association Stadium,135
67406,MI,DC,1,47,164,38.45717232572607,1.3591565436626174,91,Feroz Shah Kotla,117
5835,SRH,GL,2,86,154,39.0,0.0,54,Others,68
24053,DC,KKR,1,11,181,38.45717232572607,1.3591565436626174,107,Eden Gardens,170
39395,PWI,HDC,1,9,186,38.45717232572607,1.3591565436626174,109,Others,177
55788,RCB,KXIP,6,84,198,44.0,2.0,49,M Chinnaswamy Stadium,114
19824,RR,MI,7,208,212,62.0,3.0,-1,Others,4
8776,DC,CSK,0,79,169,54.0,0.0,78,"MA Chidambaram Stadium, Chepauk",90
22510,KKR,DC,0,9,177,38.45717232572607,1.3591565436626174,108,Feroz Shah Kotla,168
45069,CSK,RCB,2,46,165,38.0,1.0,72,"MA Chidambaram Stadium, Chepauk",119
83761,SRH,KKR,1,148,164,40.0,1.0,36,"Rajiv Gandhi International Stadium, Uppal",16
54335,KKR,RR,2,52,152,27.0,1.0,64,Others,100
45612,KKR,KXIP,5,118,157,20.0,3.0,20,"Punjab Cricket Association Stadium, Mohali",39
46007,DC,CSK,2,22,169,38.45717232572607,1.3591565436626174,99,Feroz Shah Kotla,147
61322,KXIP,RR,1,26,191,38.45717232572607,1.3591565436626174,95,Others,165
29900,RCB,DC,7,139,160,32.0,2.0,17,Feroz Shah Kotla,21
42114,KXIP,CSK,0,32,120,38.45717232572607,1.3591565436626174,97,Others,88
10777,RR,KXIP,2,54,221,26.0,1.0,66,"Punjab Cricket Association Stadium, Mohali",167
42603,PWI,KKR,2,55,136,27.0,1.0,67,Subrata Roy Sahara Stadium,81
18930,KXIP,CSK,2,43,116,14.0,1.0,57,Others,73
2502,MI,KXIP,1,132,198,51.0,0.0,56,Others,66
83949,DC,RR,2,80,196,36.0,2.0,61,Sawai Mansingh Stadium,116
66355,DC,KXIP,2,106,111,54.0,1.0,41,Feroz Shah Kotla,5
73732,DC,KKR,2,44,206,38.45717232572607,1.3591565436626174,94,Eden Gardens,162
76659,KXIP,RR,2,73,160,37.0,0.0,58,Others,87
19334,HDC,DC,4,153,153,24.0,1.0,16,Others,0
61496,RCB,CSK,0,4,181,38.45717232572607,1.3591565436626174,116,M Chinnaswamy Stadium,177
8102,KXIP,DC,4,122,158,37.0,1.0,31,"Punjab Cricket Association Stadium, Mohali",36
30971,KXIP,MI,1,1,159,38.45717232572607,1.3591565436626174,114,Wankhede Stadium,158
52130,CSK,MI,3,28,148,38.45717232572607,1.3591565436626174,92,Eden Gardens,120
63194,RCB,CSK,1,14,148,38.45717232572607,1.3591565436626174,104,"MA Chidambaram Stadium, Chepauk",134
19512,RCB,HDC,3,69,143,36.0,2.0,60,Others,74
63232,RCB,CSK,3,65,148,40.0,2.0,66,"MA Chidambaram Stadium, Chepauk",83
66009,SRH,RCB,5,138,227,46.0,2.0,31,M Chinnaswamy Stadium,89
79859,KXIP,KKR,0,1,223,38.45717232572607,1.3591565436626174,118,Eden Gardens,222
83250,DC,MI,4,68,174,19.0,3.0,53,Feroz Shah Kotla,106
31568,KKR,KTK,0,24,156,38.45717232572607,1.3591565436626174,103,Others,132
45249,SRH,KKR,5,115,180,38.0,2.0,18,Eden Gardens,65
18397,RR,DC,2,8,150,38.45717232572607,1.3591565436626174,106,Others,142
66684,KXIP,RPS,2,104,152,39.0,2.0,34,"Punjab Cricket Association Stadium, Mohali",48
33020,RCB,KKR,3,88,89,32.0,2.0,62,M Chinnaswamy Stadium,1
55630,RR,SRH,3,41,134,39.0,2.0,83,Others,93
25108,DC,MI,7,132,183,28.0,1.0,6,Others,51
85381,DC,RR,3,68,124,36.0,1.0,66,Feroz Shah Kotla,56
59789,RR,DC,2,50,184,30.0,2.0,76,Feroz Shah Kotla,134
49272,RCB,SRH,2,50,161,27.0,2.0,72,M Chinnaswamy Stadium,111
45650,RCB,DC,0,18,152,38.45717232572607,1.3591565436626174,105,M Chinnaswamy Stadium,134
12803,CSK,KXIP,1,17,112,38.45717232572607,1.3591565436626174,98,Wankhede Stadium,95
38499,MI,KXIP,4,123,168,52.0,1.0,21,"Punjab Cricket Association Stadium, Mohali",45
29940,CSK,PWI,0,16,141,38.45717232572607,1.3591565436626174,96,Dr DY Patil Sports Academy,125
37212,RCB,PWI,4,127,182,59.0,2.0,24,M Chinnaswamy Stadium,55
76682,KXIP,RR,4,99,160,38.0,2.0,35,Others,61
24757,RR,MI,2,9,174,38.45717232572607,1.3591565436626174,107,Sawai Mansingh Stadium,165
47673,KKR,CSK,2,77,200,36.0,1.0,65,"MA Chidambaram Stadium, Chepauk",123
78751,CSK,KXIP,4,87,164,30.0,1.0,37,Maharashtra Cricket Association Stadium,77
49658,SRH,CSK,7,113,223,23.0,2.0,20,"Rajiv Gandhi International Stadium, Uppal",110
1430,GL,RPS,3,137,171,37.0,2.0,27,Others,34
73266,DC,MI,1,96,204,56.0,1.0,63,Wankhede Stadium,108
64992,KKR,RR,3,118,199,47.0,1.0,46,Others,81
82891,MI,RCB,2,99,179,43.0,2.0,62,Wankhede Stadium,80
40645,RR,PWI,2,82,125,38.0,1.0,57,Subrata Roy Sahara Stadium,43
75051,CSK,RCB,4,162,213,58.0,0.0,21,M Chinnaswamy Stadium,51
28362,DC,PWI,1,88,187,53.0,1.0,68,Dr DY Patil Sports Academy,99
73388,SRH,KKR,3,62,145,23.0,2.0,66,Eden Gardens,83
50038,DC,RCB,6,174,183,52.0,2.0,3,Feroz Shah Kotla,9
2362,DC,SRH,1,75,191,50.0,0.0,71,"Rajiv Gandhi International Stadium, Uppal",116
3434,KKR,DC,1,37,160,36.0,1.0,88,Eden Gardens,123
30720,KKR,KXIP,2,115,119,29.0,0.0,19,Eden Gardens,4
76495,KKR,MI,2,33,187,38.45717232572607,1.3591565436626174,99,Wankhede Stadium,154
80083,RCB,MI,4,151,197,48.0,2.0,21,M Chinnaswamy Stadium,46
44905,PWI,MI,2,9,183,38.45717232572607,1.3591565436626174,111,Wankhede Stadium,174
38316,DC,PWI,0,22,146,38.45717232572607,1.3591565436626174,104,Subrata Roy Sahara Stadium,124
35211,DC,RCB,4,76,157,23.0,3.0,48,M Chinnaswamy Stadium,81
29132,CSK,MI,2,39,164,34.0,2.0,87,Wankhede Stadium,125
84600,RR,SRH,3,160,169,40.0,1.0,10,Sawai Mansingh Stadium,9
28762,MI,PWI,1,27,118,38.45717232572607,1.3591565436626174,90,Wankhede Stadium,91
46696,CSK,RR,1,56,185,53.0,1.0,86,"MA Chidambaram Stadium, Chepauk",129
43888,CSK,MI,1,17,148,38.45717232572607,1.3591565436626174,101,"MA Chidambaram Stadium, Chepauk",131
37070,RR,HDC,2,119,196,45.0,1.0,42,Sawai Mansingh Stadium,77
75137,KXIP,SRH,2,70,140,31.0,2.0,57,"Rajiv Gandhi International Stadium, Uppal",70
78063,SRH,RCB,0,9,222,38.45717232572607,1.3591565436626174,113,M Chinnaswamy Stadium,213
79643,RR,KXIP,0,46,200,46.0,0.0,89,Sawai Mansingh Stadium,154
77575,CSK,SRH,0,47,192,45.0,0.0,89,Maharashtra Cricket Association Stadium,145
22323,CSK,RR,3,79,177,33.0,2.0,62,Others,98
43954,CSK,MI,5,76,148,27.0,2.0,37,"MA Chidambaram Stadium, Chepauk",72
60854,KKR,KXIP,1,26,155,38.45717232572607,1.3591565436626174,98,Maharashtra Cricket Association Stadium,129
16536,KXIP,CSK,3,95,185,43.0,2.0,57,Others,90
58918,CSK,KXIP,1,64,226,38.45717232572607,1.3591565436626174,93,Wankhede Stadium,162
54539,KKR,CSK,0,7,148,38.45717232572607,1.3591565436626174,112,Others,141
39576,DC,RR,2,103,141,41.0,1.0,53,Sawai Mansingh Stadium,38
41359,CSK,DC,1,101,114,31.0,1.0,36,"MA Chidambaram Stadium, Chepauk",13
58955,CSK,KXIP,3,123,226,40.0,1.0,59,Wankhede Stadium,103
71023,RCB,KKR,1,181,183,64.0,0.0,10,Eden Gardens,2
38557,PWI,HDC,2,44,177,40.0,2.0,85,Subrata Roy Sahara Stadium,133
30018,CSK,PWI,2,112,141,33.0,1.0,22,Dr DY Patil Sports Academy,29
62960,KXIP,MI,2,45,172,37.0,2.0,85,"Punjab Cricket Association Stadium, Mohali",127
6856,DC,RR,1,78,129,41.0,0.0,66,Feroz Shah Kotla,51
55226,CSK,DC,1,168,178,54.0,0.0,9,Feroz Shah Kotla,10
18037,CSK,MI,1,24,147,38.45717232572607,1.3591565436626174,98,Others,123
77735,RR,MI,1,107,177,40.0,0.0,47,Wankhede Stadium,70
29636,RR,KTK,0,50,109,27.0,0.0,69,Sawai Mansingh Stadium,59
69592,RCB,RPS,3,172,191,65.0,1.0,11,M Chinnaswamy Stadium,19
9153,DC,MI,4,84,162,47.0,2.0,55,Dr DY Patil Sports Academy,78
40444,RCB,HDC,4,120,181,27.0,3.0,25,M Chinnaswamy Stadium,61
12054,DC,MI,5,169,176,49.0,1.0,6,Feroz Shah Kotla,7
42972,DC,KKR,2,75,162,28.0,0.0,62,Subrata Roy Sahara Stadium,87
1406,GL,RPS,2,106,171,35.0,2.0,50,Others,65
61237,KKR,DC,2,64,146,36.0,2.0,70,Feroz Shah Kotla,82
15733,KXIP,KKR,2,72,153,46.0,1.0,70,Others,81
49634,SRH,CSK,5,99,223,44.0,3.0,44,"Rajiv Gandhi International Stadium, Uppal",124
323,KKR,GL,0,149,183,46.0,0.0,46,Others,34
60422,DC,KXIP,2,87,165,38.0,1.0,50,Maharashtra Cricket Association Stadium,78
22894,RR,DC,4,33,188,38.45717232572607,1.3591565436626174,91,Feroz Shah Kotla,155
57610,KKR,CSK,1,78,154,40.0,1.0,65,Eden Gardens,76
21173,RCB,MI,2,135,151,38.0,1.0,20,Others,16
69128,KXIP,KKR,1,2,164,38.45717232572607,1.3591565436626174,113,Eden Gardens,162
76116,KKR,CSK,4,175,184,66.0,0.0,18,Eden Gardens,9
34466,MI,KKR,5,133,147,30.0,1.0,14,Wankhede Stadium,14
41398,PWI,RR,4,26,170,38.45717232572607,1.3591565436626174,90,Sawai Mansingh Stadium,144
77580,CSK,SRH,0,53,192,46.0,0.0,84,Maharashtra Cricket Association Stadium,139
18118,CSK,MI,3,118,147,46.0,0.0,20,Others,29
62246,KXIP,SRH,5,98,150,35.0,1.0,27,"Punjab Cricket Association Stadium, Mohali",52
13323,HDC,KKR,2,88,101,50.0,0.0,50,Others,13
78786,CSK,SRH,0,0,148,38.45717232572607,1.3591565436626174,119,Wankhede Stadium,148
37872,DC,PWI,2,94,192,64.0,1.0,59,Feroz Shah Kotla,98
42740,RCB,HDC,4,66,132,23.0,2.0,51,"Rajiv Gandhi International Stadium, Uppal",66
62476,KKR,CSK,4,79,134,17.0,1.0,43,"MA Chidambaram Stadium, Chepauk",55
27212,HDC,KKR,5,101,163,38.0,2.0,30,Eden Gardens,62
7673,MI,KXIP,5,93,182,35.0,3.0,44,"Punjab Cricket Association Stadium, Mohali",89
41711,MI,RCB,5,110,171,35.0,0.0,26,M Chinnaswamy Stadium,61
39394,PWI,HDC,1,9,186,38.45717232572607,1.3591565436626174,110,Others,177
75971,RR,DC,0,81,203,65.0,0.0,84,Feroz Shah Kotla,122
80896,RR,RCB,1,84,164,33.0,1.0,62,Sawai Mansingh Stadium,80
54301,KKR,RR,1,21,152,38.45717232572607,1.3591565436626174,97,Others,131
57434,SRH,RCB,0,0,160,38.45717232572607,1.3591565436626174,119,"Rajiv Gandhi International Stadium, Uppal",160
5379,KKR,KXIP,3,127,167,41.0,0.0,19,"Punjab Cricket Association Stadium, Mohali",40
71610,GL,MI,4,127,172,34.0,3.0,39,Others,45
16353,MI,HDC,5,103,145,29.0,2.0,25,Others,42
28510,KKR,RR,2,64,81,27.0,0.0,44,Eden Gardens,17
64060,DC,SRH,4,73,163,21.0,3.0,49,Others,90
6831,DC,RR,1,48,129,48.0,1.0,89,Feroz Shah Kotla,81
83617,DC,KXIP,1,101,168,36.0,0.0,54,Feroz Shah Kotla,67
23051,HDC,KKR,2,101,181,30.0,1.0,45,Eden Gardens,80
58207,RR,KXIP,3,61,179,31.0,2.0,63,"Punjab Cricket Association Stadium, Mohali",118
81545,SRH,MI,6,93,142,30.0,2.0,24,"Rajiv Gandhi International Stadium, Uppal",49
65771,KKR,DC,0,57,98,23.0,0.0,68,Eden Gardens,41
68170,DC,GL,5,159,172,58.0,1.0,6,Feroz Shah Kotla,13
31611,KKR,KTK,0,69,156,29.0,0.0,60,Others,87
59934,MI,KXIP,4,38,177,21.0,1.0,57,Wankhede Stadium,139
82941,MI,RCB,4,153,179,34.0,1.0,13,Wankhede Stadium,26
54733,MI,KXIP,4,126,168,44.0,1.0,22,Wankhede Stadium,42
14224,DC,RCB,4,131,149,47.0,2.0,15,Others,18
61177,RCB,MI,6,178,209,53.0,1.0,7,M Chinnaswamy Stadium,31
15466,RR,HDC,3,15,141,38.45717232572607,1.3591565436626174,92,Others,126
81340,KXIP,CSK,2,9,165,38.45717232572607,1.3591565436626174,105,Others,156
49027,CSK,MI,3,18,139,38.45717232572607,1.3591565436626174,98,Wankhede Stadium,121
6595,RCB,KKR,2,14,222,38.45717232572607,1.3591565436626174,101,M Chinnaswamy Stadium,208
1154,KKR,KXIP,1,81,170,66.0,1.0,80,Eden Gardens,89
78269,CSK,DC,4,95,171,24.0,2.0,30,Feroz Shah Kotla,76
37735,CSK,RR,1,55,146,35.0,1.0,75,"MA Chidambaram Stadium, Chepauk",91
29162,CSK,MI,2,87,164,48.0,0.0,57,Wankhede Stadium,77
15537,RR,HDC,6,113,141,45.0,1.0,24,Others,28
17923,KXIP,DC,2,35,120,38.45717232572607,1.3591565436626174,92,Others,85
45632,KKR,KXIP,9,152,157,36.0,5.0,0,"Punjab Cricket Association Stadium, Mohali",5
27203,HDC,KKR,4,86,163,33.0,2.0,39,Eden Gardens,77
59790,RR,DC,2,50,184,30.0,2.0,75,Feroz Shah Kotla,134
83394,KKR,RCB,4,113,219,48.0,1.0,34,Eden Gardens,106
67218,SRH,GL,0,88,135,35.0,0.0,63,Others,47
70677,SRH,KXIP,0,7,179,38.45717232572607,1.3591565436626174,115,"Punjab Cricket Association Stadium, Mohali",172
68900,KKR,RCB,1,8,185,38.45717232572607,1.3591565436626174,111,M Chinnaswamy Stadium,177
10510,KXIP,RCB,1,128,143,58.0,0.0,34,"Punjab Cricket Association Stadium, Mohali",15
44559,RCB,KKR,0,11,154,38.45717232572607,1.3591565436626174,108,M Chinnaswamy Stadium,143
58252,RR,KXIP,6,119,179,43.0,2.0,20,"Punjab Cricket Association Stadium, Mohali",60
26270,HDC,CSK,0,17,142,38.45717232572607,1.3591565436626174,93,Dr DY Patil Sports Academy,125
76261,CSK,RCB,1,23,131,38.45717232572607,1.3591565436626174,97,Maharashtra Cricket Association Stadium,108
78575,MI,DC,1,56,186,43.0,0.0,85,Feroz Shah Kotla,130
41496,KXIP,HDC,0,4,190,38.45717232572607,1.3591565436626174,113,"Punjab Cricket Association Stadium, Mohali",186
35569,KXIP,PWI,3,74,166,44.0,1.0,45,Subrata Roy Sahara Stadium,92
77201,RR,CSK,0,48,188,38.45717232572607,1.3591565436626174,97,Sawai Mansingh Stadium,140
22959,RR,DC,8,107,188,35.0,2.0,28,Feroz Shah Kotla,81
65668,RPS,MI,0,59,121,46.0,0.0,78,Wankhede Stadium,62
67609,SRH,KXIP,5,141,143,32.0,3.0,15,"Rajiv Gandhi International Stadium, Uppal",2
74731,DC,KXIP,1,42,157,38.45717232572607,1.3591565436626174,96,Feroz Shah Kotla,115
59286,DC,CSK,3,39,150,39.0,3.0,89,"MA Chidambaram Stadium, Chepauk",111
25981,DC,HDC,7,105,145,37.0,3.0,22,Feroz Shah Kotla,40
57499,SRH,RCB,0,83,160,33.0,0.0,55,"Rajiv Gandhi International Stadium, Uppal",77
56025,KKR,KXIP,0,48,149,46.0,0.0,87,Others,101
80814,DC,KXIP,3,146,175,47.0,0.0,25,Others,29
7985,HDC,MI,0,104,154,67.0,0.0,68,Dr DY Patil Sports Academy,50
39905,HDC,CSK,1,70,160,36.0,0.0,63,"MA Chidambaram Stadium, Chepauk",90
46166,SRH,KXIP,3,72,123,28.0,2.0,46,"Rajiv Gandhi International Stadium, Uppal",51
23092,HDC,KKR,4,148,181,27.0,1.0,6,Eden Gardens,33
85333,DC,RR,0,6,124,38.45717232572607,1.3591565436626174,114,Feroz Shah Kotla,118
15241,KKR,MI,2,50,148,35.0,0.0,69,Others,98
27278,RR,DC,1,47,151,40.0,1.0,89,Sawai Mansingh Stadium,104
22002,RR,HDC,2,133,148,50.0,1.0,37,Others,15
15230,KKR,MI,2,37,148,29.0,1.0,78,Others,111
2188,GL,RCB,0,0,213,38.45717232572607,1.3591565436626174,119,Others,213
8533,KXIP,HDC,1,44,164,32.0,1.0,81,"Rajiv Gandhi International Stadium, Uppal",120
82269,DC,KKR,1,50,183,38.45717232572607,1.3591565436626174,92,Eden Gardens,133
55868,SRH,DC,2,38,143,38.45717232572607,1.3591565436626174,95,Feroz Shah Kotla,105
49833,PWI,KKR,2,30,152,17.0,2.0,85,Subrata Roy Sahara Stadium,122
27817,RCB,HDC,7,130,175,64.0,2.0,15,"Rajiv Gandhi International Stadium, Uppal",45
35334,HDC,CSK,4,87,193,39.0,2.0,49,Others,106
39504,PWI,HDC,4,164,186,51.0,1.0,5,Others,22
6332,KKR,SRH,2,12,128,38.45717232572607,1.3591565436626174,113,M Chinnaswamy Stadium,116
27338,RR,DC,4,121,151,35.0,2.0,29,Sawai Mansingh Stadium,30
16844,CSK,RR,1,23,140,38.45717232572607,1.3591565436626174,98,Others,117
69705,DC,KXIP,4,142,181,36.0,3.0,18,"Punjab Cricket Association Stadium, Mohali",39
27528,KXIP,CSK,1,91,188,48.0,1.0,64,"Punjab Cricket Association Stadium, Mohali",97
27887,KKR,RR,1,77,159,49.0,0.0,70,Sawai Mansingh Stadium,82
31327,CSK,RR,1,12,147,38.45717232572607,1.3591565436626174,103,"MA Chidambaram Stadium, Chepauk",135
77093,SRH,DC,1,35,190,38.45717232572607,1.3591565436626174,91,Feroz Shah Kotla,155
38261,RR,RCB,4,92,189,33.0,3.0,37,Sawai Mansingh Stadium,97
57544,SRH,RCB,2,142,160,39.0,1.0,11,"Rajiv Gandhi International Stadium, Uppal",18
31700,DC,HDC,2,19,175,38.45717232572607,1.3591565436626174,94,"Rajiv Gandhi International Stadium, Uppal",156
65229,CSK,MI,5,110,187,31.0,3.0,36,Wankhede Stadium,77
45999,DC,CSK,2,14,169,38.45717232572607,1.3591565436626174,106,Feroz Shah Kotla,155
64912,CSK,KXIP,3,130,130,39.0,1.0,20,"Punjab Cricket Association Stadium, Mohali",0
59432,KXIP,RR,3,62,162,29.0,1.0,70,Maharashtra Cricket Association Stadium,100
44779,SRH,DC,0,0,114,38.45717232572607,1.3591565436626174,118,Feroz Shah Kotla,114
18948,KXIP,CSK,4,52,116,15.0,2.0,39,Others,64
13747,KKR,RR,0,7,150,38.45717232572607,1.3591565436626174,113,Others,143
41283,CSK,DC,0,7,114,38.45717232572607,1.3591565436626174,111,"MA Chidambaram Stadium, Chepauk",107
35483,KKR,RR,9,132,164,50.0,3.0,8,Sawai Mansingh Stadium,32
78503,KKR,SRH,2,125,183,37.0,1.0,37,"Rajiv Gandhi International Stadium, Uppal",58
68393,GL,RPS,3,168,195,49.0,1.0,20,Maharashtra Cricket Association Stadium,27
14801,RCB,KKR,4,109,139,34.0,3.0,19,Others,30
33875,RR,MI,0,129,133,49.0,0.0,43,Wankhede Stadium,4
36334,KKR,RR,1,42,131,29.0,1.0,81,Eden Gardens,89
2449,MI,KXIP,0,22,198,38.45717232572607,1.3591565436626174,107,Others,176
21664,CSK,RCB,6,115,171,36.0,1.0,14,M Chinnaswamy Stadium,56
26251,HDC,CSK,0,1,142,38.45717232572607,1.3591565436626174,112,Dr DY Patil Sports Academy,141
57517,SRH,RCB,1,105,160,38.0,1.0,37,"Rajiv Gandhi International Stadium, Uppal",55
52569,KXIP,CSK,4,202,205,55.0,1.0,8,Others,3
26644,KKR,CSK,1,91,153,35.0,1.0,48,"MA Chidambaram Stadium, Chepauk",62
24161,DC,KKR,8,162,181,28.0,5.0,3,Eden Gardens,19
12866,CSK,KXIP,1,99,112,39.0,0.0,36,Wankhede Stadium,13
58276,CSK,RCB,0,4,154,38.45717232572607,1.3591565436626174,116,M Chinnaswamy Stadium,150
78563,MI,DC,1,33,186,38.45717232572607,1.3591565436626174,97,Feroz Shah Kotla,153
62811,CSK,SRH,1,14,192,38.45717232572607,1.3591565436626174,109,"Rajiv Gandhi International Stadium, Uppal",178
63965,KKR,KXIP,5,154,183,70.0,1.0,25,Eden Gardens,29
65679,RPS,MI,0,69,121,46.0,0.0,69,Wankhede Stadium,52
4927,DC,MI,8,51,212,20.0,4.0,59,Feroz Shah Kotla,161
52014,MI,RR,0,45,165,39.0,0.0,84,Eden Gardens,120
2107,KXIP,SRH,2,53,159,37.0,1.0,78,"Rajiv Gandhi International Stadium, Uppal",106
31146,KTK,DC,2,79,140,26.0,2.0,70,Feroz Shah Kotla,61
66493,GL,MI,1,21,143,38.45717232572607,1.3591565436626174,100,Wankhede Stadium,122
56322,MI,SRH,2,140,157,47.0,1.0,18,"Rajiv Gandhi International Stadium, Uppal",17
75342,MI,CSK,0,38,176,38.45717232572607,1.3591565436626174,93,Maharashtra Cricket Association Stadium,138
30057,KTK,HDC,4,6,129,38.45717232572607,1.3591565436626174,102,Others,123
78964,RR,KKR,1,88,179,40.0,1.0,60,Eden Gardens,91
17845,MI,RR,4,68,145,28.0,1.0,43,Others,77
30172,DC,KKR,1,34,148,38.45717232572607,1.3591565436626174,90,Feroz Shah Kotla,114
19303,HDC,DC,3,125,153,36.0,2.0,46,Others,28
6459,RPS,MI,0,7,129,38.45717232572607,1.3591565436626174,112,"Rajiv Gandhi International Stadium, Uppal",122
33409,HDC,PWI,2,80,136,23.0,2.0,54,Dr DY Patil Sports Academy,56
41513,KXIP,HDC,1,24,190,38.45717232572607,1.3591565436626174,97,"Punjab Cricket Association Stadium, Mohali",166
38208,RR,RCB,0,39,189,38.0,0.0,89,Sawai Mansingh Stadium,150
47777,PWI,DC,0,42,164,42.0,0.0,85,Others,122
54560,KKR,CSK,2,37,148,38.45717232572607,1.3591565436626174,91,Others,111
15809,RCB,MI,0,1,149,38.45717232572607,1.3591565436626174,117,Others,148
65546,CSK,MI,1,43,202,29.0,1.0,75,Eden Gardens,159
54308,KKR,RR,1,30,152,38.45717232572607,1.3591565436626174,90,Others,122
29602,RR,KTK,0,20,109,38.45717232572607,1.3591565436626174,102,Sawai Mansingh Stadium,89
54083,CSK,SRH,0,53,145,41.0,0.0,78,Others,92
54803,RR,DC,1,54,152,32.0,0.0,70,Feroz Shah Kotla,98
63933,KKR,KXIP,4,83,183,26.0,3.0,55,Eden Gardens,100
60550,RR,SRH,1,72,127,24.0,1.0,49,Others,55
6091,DC,RCB,1,13,161,38.45717232572607,1.3591565436626174,105,Feroz Shah Kotla,148
2211,GL,RCB,1,37,213,38.45717232572607,1.3591565436626174,96,Others,176
41984,MI,KKR,0,7,140,38.45717232572607,1.3591565436626174,108,Wankhede Stadium,133
61435,KKR,SRH,0,24,176,38.45717232572607,1.3591565436626174,104,Others,152
3272,KKR,RPS,1,122,182,70.0,0.0,49,Maharashtra Cricket Association Stadium,60
12967,RR,CSK,4,117,163,40.0,1.0,28,Dr DY Patil Sports Academy,46
36646,PWI,CSK,3,139,155,41.0,0.0,10,Subrata Roy Sahara Stadium,16
40170,KXIP,RR,4,71,177,24.0,2.0,50,"Punjab Cricket Association Stadium, Mohali",106
2323,DC,SRH,0,14,191,38.45717232572607,1.3591565436626174,110,"Rajiv Gandhi International Stadium, Uppal",177
