,batting_team,bowling_team,wicket_fallen,score,target,runs_prev_5,wick_prev_5,balls_left,venue,req
44367,DC,MI,2,61,209,43.0,0.0,71,Wankhede Stadium,148
13415,RCB,CSK,8,78,179,27.0,3.0,41,Others,101
8875,RCB,HDC,1,30,165,38.45717232572607,1.3591565436626174,96,"Rajiv Gandhi International Stadium, Uppal",135
19853,DC,KXIP,2,29,142,38.45717232572607,1.3591565436626174,91,"Punjab Cricket Association Stadium, Mohali",113
8777,DC,CSK,0,83,169,57.0,0.0,77,"MA Chidambaram Stadium, Chepauk",86
37223,RCB,PWI,4,152,182,51.0,1.0,14,M Chinnaswamy Stadium,30
56556,DC,RCB,5,123,186,41.0,2.0,24,M Chinnaswamy Stadium,63
35194,DC,RCB,2,67,157,35.0,1.0,65,M Chinnaswamy Stadium,90
5167,SRH,MI,0,5,138,38.45717232572607,1.3591565436626174,117,"Rajiv Gandhi International Stadium, Uppal",133
70982,RCB,KKR,1,100,183,35.0,1.0,49,Eden Gardens,83
31954,KKR,CSK,1,33,114,27.0,1.0,87,Eden Gardens,81
54878,RCB,SRH,1,6,155,38.45717232572607,1.3591565436626174,108,M Chinnaswamy Stadium,149
52467,KXIP,CSK,0,23,205,38.45717232572607,1.3591565436626174,105,Others,182
20627,DC,MI,8,119,218,30.0,3.0,29,Feroz Shah Kotla,99
23648,RCB,DC,3,97,184,50.0,2.0,40,Feroz Shah Kotla,87
39995,PWI,KKR,2,28,150,38.45717232572607,1.3591565436626174,98,Eden Gardens,122
64625,RCB,KXIP,3,69,106,48.0,3.0,78,"Punjab Cricket Association Stadium, Mohali",37
48458,KXIP,CSK,0,5,186,38.45717232572607,1.3591565436626174,116,"MA Chidambaram Stadium, Chepauk",181
86194,CSK,MI,3,85,152,24.0,2.0,44,"Rajiv Gandhi International Stadium, Uppal",67
27589,PWI,KTK,0,2,148,38.45717232572607,1.3591565436626174,118,Dr DY Patil Sports Academy,146
48313,SRH,MI,2,82,129,29.0,0.0,43,"Rajiv Gandhi International Stadium, Uppal",47
50064,MI,PWI,1,19,112,38.45717232572607,1.3591565436626174,99,Subrata Roy Sahara Stadium,93
55408,KKR,DC,0,73,160,44.0,0.0,70,Feroz Shah Kotla,87
61965,KXIP,CSK,0,3,192,38.45717232572607,1.3591565436626174,116,"MA Chidambaram Stadium, Chepauk",189
62010,KXIP,CSK,3,48,192,27.0,2.0,72,"MA Chidambaram Stadium, Chepauk",144
65956,SRH,RCB,1,58,227,43.0,1.0,81,M Chinnaswamy Stadium,169
59191,KKR,MI,1,63,168,46.0,0.0,71,Eden Gardens,105
11660,MI,KXIP,3,144,189,54.0,1.0,30,Wankhede Stadium,45
28951,KKR,KTK,6,99,132,33.0,3.0,22,Eden Gardens,33
14491,KKR,MI,0,8,187,38.45717232572607,1.3591565436626174,110,Others,179
33668,KTK,CSK,3,95,152,27.0,1.0,24,"MA Chidambaram Stadium, Chepauk",57
63838,MI,CSK,3,98,158,15.0,3.0,32,"MA Chidambaram Stadium, Chepauk",60
14895,MI,KXIP,4,55,119,29.0,1.0,49,Others,64
35407,KKR,RR,4,31,164,23.0,4.0,81,Sawai Mansingh Stadium,133
66853,SRH,MI,1,22,142,38.45717232572607,1.3591565436626174,100,"Rajiv Gandhi International Stadium, Uppal",120
13355,RCB,CSK,1,30,179,38.45717232572607,1.3591565436626174,98,Others,149
36495,DC,HDC,4,103,157,41.0,1.0,43,Feroz Shah Kotla,54
75522,RR,SRH,4,99,152,27.0,3.0,34,Sawai Mansingh Stadium,53
13737,CSK,DC,9,179,189,36.0,5.0,2,Others,10
57838,RCB,KKR,1,68,195,51.0,0.0,65,Eden Gardens,127
64916,KKR,RR,0,2,199,38.45717232572607,1.3591565436626174,117,Others,197
77889,KKR,RR,3,84,144,32.0,1.0,54,Eden Gardens,60
15107,RR,CSK,2,41,164,33.0,2.0,81,Others,123
55201,CSK,DC,1,121,178,52.0,1.0,34,Feroz Shah Kotla,57
85843,MI,CSK,2,104,136,45.0,0.0,40,Others,32
43038,MI,CSK,0,1,187,38.45717232572607,1.3591565436626174,117,M Chinnaswamy Stadium,186
12353,KKR,KXIP,2,54,174,35.0,2.0,76,Eden Gardens,120
83206,DC,MI,0,38,174,38.45717232572607,1.3591565436626174,95,Feroz Shah Kotla,136
69994,KXIP,RCB,1,80,175,43.0,1.0,63,"Punjab Cricket Association Stadium, Mohali",95
27513,KXIP,CSK,1,71,188,56.0,1.0,79,"Punjab Cricket Association Stadium, Mohali",117
25660,KKR,RR,0,10,132,38.45717232572607,1.3591565436626174,114,Eden Gardens,122
50248,KXIP,SRH,4,92,150,38.0,0.0,30,"Punjab Cricket Association Stadium, Mohali",58
18463,RR,DC,4,79,150,43.0,1.0,44,Others,71
23604,RCB,DC,1,38,184,26.0,1.0,84,Feroz Shah Kotla,146
30818,RR,PWI,4,101,143,40.0,1.0,26,Sawai Mansingh Stadium,42
14920,MI,KXIP,4,86,119,33.0,0.0,25,Others,33
77581,CSK,SRH,0,57,192,50.0,0.0,83,Maharashtra Cricket Association Stadium,135
18105,CSK,MI,3,102,147,46.0,1.0,32,Others,45
6242,MI,RPS,3,48,162,32.0,3.0,78,Wankhede Stadium,114
72386,CSK,MI,2,42,169,31.0,2.0,83,Wankhede Stadium,127
7917,CSK,KKR,1,119,147,43.0,0.0,31,"MA Chidambaram Stadium, Chepauk",28
